[e3] 
x-value,z-value,robots,orientation
-2.54505,0.483002,0,256.14, 
-2.54892,0.483969,0,255.9, 
-2.55282,0.485004,0,255.71, 
-2.55671,0.486062,0,255.56, 
-2.56059,0.487133,0,255.46, 
-2.56448,0.488212,0,255.37, 
-2.56836,0.489294,0,255.29, 
-2.57224,0.490366,0,255.23, 
-2.57614,0.49139,0,255.18, 
-2.58003,0.49241,0,255.14, 
-2.58391,0.493428,0,255.1, 
-2.58779,0.494446,0,255.07, 
-2.59166,0.495465,0,255.05, 
-2.59553,0.496486,0,255.03, 
-2.5994,0.497509,0,255.01, 
-2.60328,0.498537,0,255, 
-2.60717,0.499568,0,254.99, 
-2.61105,0.500601,0,254.98, 
-2.61493,0.501641,0,254.97, 
-2.61882,0.502686,0,254.97, 
-2.6227,0.50373,0,254.96, 
-2.62658,0.504774,0,254.96, 
-2.63047,0.505815,0,254.96, 
-2.63435,0.506856,0,254.96, 
-2.63823,0.507899,0,254.95, 
-2.64211,0.508941,0,254.95, 
-2.64599,0.509984,0,254.95, 
-2.64987,0.511027,0,254.95, 
-2.65375,0.51207,0,254.95, 
-2.65764,0.513114,0,254.95, 
-2.66152,0.514157,0,254.95, 
-2.6654,0.5152,0,254.95, 
-2.66928,0.516244,0,254.95, 
-2.67316,0.517287,0,254.95, 
-2.67704,0.518331,0,254.96, 
-2.68092,0.519374,0,254.96, 
-2.68481,0.520417,0,254.96, 
-2.68869,0.521461,0,254.96, 
-2.69257,0.522504,0,254.96, 
-2.69645,0.523547,0,254.96, 
-2.70033,0.524591,0,254.96, 
-2.70421,0.525634,0,254.96, 
-2.70809,0.526677,0,254.96, 
-2.71198,0.52772,0,254.96, 
-2.71586,0.528763,0,254.96, 
-2.71974,0.529806,0,254.96, 
-2.72362,0.53085,0,254.96, 
-2.7275,0.531893,0,254.96, 
-2.73138,0.532936,0,254.96, 
-2.73526,0.533979,0,254.96, 
-2.73915,0.535022,0,254.96, 
-2.74303,0.536066,0,254.95, 
-2.74691,0.537109,0,254.95, 
-2.75079,0.538152,0,254.95, 
-2.75467,0.539196,0,254.95, 
-2.75855,0.540239,0,254.95, 
-2.76244,0.541282,0,254.95, 
-2.76632,0.542326,0,254.95, 
-2.7702,0.543369,0,254.95, 
-2.77408,0.544412,0,254.95, 
-2.77796,0.545456,0,254.95, 
-2.78184,0.546499,0,254.95, 
-2.78572,0.547542,0,254.96, 
-2.78961,0.548585,0,254.96, 
-2.79349,0.549629,0,254.96, 
-2.79737,0.550672,0,254.96, 
-2.80125,0.551715,0,254.96, 
-2.80513,0.552758,0,254.96, 
-2.80901,0.553801,0,254.96, 
-2.81289,0.554844,0,254.96, 
-2.81677,0.555887,0,254.96, 
-2.82066,0.55693,0,254.96, 
-2.82454,0.557973,0,254.96, 
-2.82842,0.559016,0,254.96, 
-2.8323,0.560059,0,254.96, 
-2.83618,0.561102,0,254.96, 
-2.84006,0.562145,0,254.96, 
-2.84395,0.563188,0,254.96, 
-2.84783,0.564231,0,254.96, 
-2.85171,0.565275,0,254.96, 
-2.85559,0.566318,0,254.96, 
-2.85947,0.567361,0,254.96, 
-2.86335,0.568404,0,254.96, 
-2.86723,0.569447,0,254.96, 
-2.87112,0.570491,0,254.95, 
-2.875,0.571534,0,254.95, 
-2.87888,0.572577,0,254.95, 
-2.88276,0.57362,0,254.95, 
-2.88664,0.574664,0,254.95, 
-2.89052,0.575707,0,254.95, 
-2.8944,0.57675,0,254.95, 
-2.89829,0.577794,0,254.95, 
-2.90217,0.578837,0,254.96, 
-2.90605,0.57988,0,254.96, 
-2.90993,0.580923,0,254.96, 
-2.91381,0.581966,0,254.96, 
-2.91769,0.58301,0,254.96, 
-2.92158,0.584053,0,254.96, 
-2.92546,0.585096,0,254.96, 
-2.92934,0.586139,0,254.96, 
-2.93322,0.587182,0,254.96, 
-2.9371,0.588225,0,254.96, 
-2.94098,0.589268,0,254.96, 
-2.94427,0.590181,0,250.94, 
-2.94548,0.590654,0,246.88, 
-2.94663,0.591179,0,242.81, 
-2.94873,0.592328,0,238.67, 
-2.95055,0.593489,0,234.23, 
-2.95208,0.594643,0,230.08, 
-2.95359,0.59595,0,225.63, 
-2.95515,0.597519,0,221.17, 
-2.95658,0.599203,0,216.69, 
-2.95781,0.600902,0,212.28, 
-2.95894,0.602736,0,207.77, 
-2.9599,0.60463,0,203.24, 
-2.96072,0.606571,0,198.68, 
-2.96137,0.608549,0,194.07, 
-2.96187,0.610548,0,189.37, 
-2.96219,0.612561,0,184.51, 
-2.96231,0.614588,0,179.63, 
-2.96223,0.616562,0,175.22, 
-2.96205,0.618637,0,170.8, 
-2.9617,0.62082,0,166.39, 
-2.96118,0.622969,0,161.96, 
-2.96049,0.625068,0,157.53, 
-2.95965,0.627104,0,153.1, 
-2.95866,0.629067,0,148.65, 
-2.95751,0.630944,0,144.2, 
-2.95623,0.632723,0,139.75, 
-2.95481,0.634395,0,135.28, 
-2.95201,0.637217,0,135.26, 
-2.9492,0.640057,0,135.24, 
-2.9464,0.642902,0,135.21, 
-2.94361,0.645752,0,135.18, 
-2.94081,0.648604,0,135.14, 
-2.93801,0.651455,0,135.11, 
-2.9352,0.654307,0,135.07, 
-2.9324,0.657156,0,135.04, 
-2.92958,0.660005,0,135.01, 
-2.92676,0.66285,0,134.99, 
-2.92391,0.665686,0,135, 
-2.92106,0.668526,0,135, 
-2.91822,0.671367,0,135, 
-2.91537,0.674208,0,134.99, 
-2.91252,0.67705,0,134.99, 
-2.90968,0.679892,0,135, 
-2.90683,0.682734,0,135, 
-2.90399,0.685576,0,135, 
-2.90114,0.688419,0,135, 
-2.8983,0.691261,0,135, 
-2.89546,0.694103,0,135, 
-2.89262,0.696943,0,135, 
-2.88978,0.699783,0,135, 
-2.88694,0.702623,0,135.01, 
-2.8841,0.705462,0,135.01, 
-2.88126,0.708305,0,135.01, 
-2.87842,0.711147,0,135.01, 
-2.87558,0.71399,0,135.01, 
-2.87273,0.716832,0,135.01, 
-2.86989,0.719674,0,135.01, 
-2.86705,0.722516,0,135.01, 
-2.86421,0.725359,0,135.01, 
-2.86137,0.728201,0,135.01, 
-2.85852,0.731043,0,135.01, 
-2.85568,0.733886,0,135.01, 
-2.85284,0.736728,0,135.01, 
-2.85,0.739571,0,135.01, 
-2.84716,0.742413,0,135.01, 
-2.84431,0.745255,0,135.01, 
-2.84147,0.748098,0,135.01, 
-2.83863,0.75094,0,135.01, 
-2.83579,0.753782,0,135.01, 
-2.83295,0.756625,0,135.01, 
-2.83011,0.759467,0,135.01, 
-2.82726,0.762309,0,135.01, 
-2.82442,0.765152,0,135, 
-2.82158,0.767994,0,135, 
-2.81874,0.770837,0,135, 
-2.8159,0.773679,0,135, 
-2.81306,0.776521,0,135, 
-2.81021,0.779364,0,135, 
-2.80737,0.782206,0,135, 
-2.80453,0.785048,0,135, 
-2.80169,0.78789,0,135, 
-2.79885,0.790732,0,135, 
-2.796,0.793575,0,135, 
-2.79316,0.796417,0,135.01, 
-2.79032,0.799259,0,135.01, 
-2.78748,0.802102,0,135.01, 
-2.78464,0.804944,0,135.01, 
-2.7818,0.807786,0,135.01, 
-2.77895,0.810628,0,135.01, 
-2.77611,0.813471,0,135.01, 
-2.77327,0.816313,0,135.01, 
-2.77043,0.819156,0,135.01, 
-2.76759,0.821998,0,135.01, 
-2.76474,0.82484,0,135.01, 
-2.7619,0.827683,0,135.01, 
-2.75906,0.830525,0,135.01, 
-2.75622,0.833367,0,135.01, 
-2.75338,0.83621,0,135.01, 
-2.75054,0.839052,0,135.01, 
-2.74769,0.841894,0,135.01, 
-2.74485,0.844736,0,135, 
-2.74201,0.847579,0,135, 
-2.73917,0.850421,0,135, 
-2.73633,0.853263,0,135, 
-2.73348,0.856106,0,135, 
-2.73064,0.858948,0,135, 
-2.7278,0.86179,0,135, 
-2.72496,0.864632,0,135, 
-2.72212,0.867475,0,135, 
-2.71928,0.870317,0,135, 
-2.71643,0.873159,0,135, 
-2.71359,0.876001,0,135, 
-2.71075,0.878843,0,135, 
-2.70791,0.881686,0,135, 
-2.70507,0.884528,0,135, 
-2.70222,0.88737,0,135, 
-2.69938,0.890212,0,135, 
-2.69654,0.893055,0,135, 
-2.6937,0.895897,0,135.01, 
-2.69086,0.898739,0,135.01, 
-2.68802,0.901581,0,135.01, 
-2.68517,0.904424,0,135, 
-2.68233,0.907266,0,135, 
-2.67949,0.910108,0,135, 
-2.67665,0.912951,0,135, 
-2.67381,0.915793,0,135, 
-2.67096,0.918635,0,135, 
-2.66812,0.921477,0,135, 
-2.66528,0.92432,0,135, 
-2.66244,0.927162,0,135, 
-2.6596,0.930004,0,135, 
-2.65675,0.932846,0,135, 
-2.65391,0.935688,0,135, 
-2.65107,0.938531,0,135, 
-2.64823,0.941373,0,135, 
-2.64539,0.944215,0,135, 
-2.64254,0.947057,0,135, 
-2.6397,0.9499,0,135, 
-2.63686,0.952742,0,135, 
-2.63402,0.955584,0,135, 
-2.63118,0.958426,0,135, 
-2.62833,0.961268,0,135, 
-2.62549,0.96411,0,135, 
-2.62265,0.966952,0,135, 
