[e3] 
x-value,z-value,robots,orientation
-0.0463633,1.05167,0,0.01, 
-0.0463628,1.04767,0,0.01, 
-0.0463623,1.04364,0,0.01, 
-0.0463618,1.03962,0,0.01, 
-0.0463612,1.0356,0,0.01, 
-0.0463606,1.03158,0,0.01, 
-0.0463599,1.02756,0,0.01, 
-0.0463592,1.02354,0,0.01, 
-0.0463585,1.01952,0,0.01, 
-0.0463578,1.0155,0,0.01, 
-0.0463571,1.01148,0,0.01, 
-0.0463564,1.00746,0,0.01, 
-0.0463557,1.00344,0,0.01, 
-0.046355,0.999422,0,0.01, 
-0.0463544,0.995402,0,0.01, 
-0.0463537,0.991383,0,0.01, 
-0.0463531,0.987363,0,0.01, 
-0.0463526,0.983344,0,0.01, 
-0.0463521,0.979325,0,0.01, 
-0.0463516,0.975306,0,0.01, 
-0.0463512,0.971286,0,0.01, 
-0.0463508,0.967267,0,0, 
-0.0463504,0.963248,0,0, 
-0.0463501,0.959229,0,0, 
-0.0463497,0.95521,0,0, 
-0.0463494,0.95119,0,0, 
-0.0463491,0.947171,0,0, 
-0.0463487,0.943152,0,0, 
-0.0463484,0.939133,0,0, 
-0.046348,0.935114,0,0, 
-0.0463476,0.931095,0,0.01, 
-0.0463472,0.927076,0,0.01, 
-0.0463467,0.923057,0,0.01, 
-0.0463463,0.919037,0,0.01, 
-0.0463457,0.915018,0,0.01, 
-0.0463451,0.910999,0,0.01, 
-0.0463445,0.90698,0,0.01, 
-0.0463439,0.902961,0,0.01, 
-0.0463432,0.898941,0,0.01, 
-0.0463425,0.894922,0,0.01, 
-0.0463418,0.890903,0,0.01, 
-0.0463411,0.886884,0,0.01, 
-0.0463404,0.882864,0,0.01, 
-0.0463397,0.878845,0,0.01, 
-0.046339,0.874826,0,0.01, 
-0.0463383,0.870807,0,0.01, 
-0.0463377,0.866787,0,0.01, 
-0.046337,0.862768,0,0.01, 
-0.0463365,0.858749,0,0.01, 
-0.0463359,0.854729,0,0.01, 
-0.0463355,0.85071,0,0.01, 
-0.046335,0.846691,0,0.01, 
-0.0463346,0.842672,0,0, 
-0.0463342,0.838653,0,0, 
-0.0463339,0.834633,0,0, 
-0.0463335,0.830614,0,0, 
-0.0463332,0.826595,0,0, 
-0.0463329,0.822576,0,0, 
-0.0463325,0.818557,0,0, 
-0.0463322,0.814538,0,0, 
-0.0463318,0.810519,0,0, 
-0.0463315,0.806499,0,0.01, 
-0.0463311,0.80248,0,0.01, 
-0.0463306,0.798461,0,0.01, 
-0.0463301,0.794442,0,0.01, 
-0.0463296,0.790423,0,0.01, 
-0.0463291,0.786404,0,0.01, 
-0.0463284,0.782385,0,0.01, 
-0.0463278,0.778365,0,0.01, 
-0.0463271,0.774346,0,0.01, 
-0.0463264,0.770327,0,0.01, 
-0.0463257,0.766308,0,0.01, 
-0.046325,0.762288,0,0.01, 
-0.0463243,0.758269,0,0.01, 
-0.0463236,0.75425,0,0.01, 
-0.0463229,0.750231,0,0.01, 
-0.0463223,0.746211,0,0.01, 
-0.0463216,0.742192,0,0.01, 
-0.046321,0.738173,0,0.01, 
-0.0463204,0.734153,0,0.01, 
-0.0463198,0.730134,0,0.01, 
-0.0463193,0.726115,0,0.01, 
-0.0463189,0.722096,0,0.01, 
-0.0463185,0.718076,0,0.01, 
-0.0463181,0.714057,0,0, 
-0.0463177,0.710038,0,0, 
-0.0463174,0.706019,0,0, 
-0.046317,0.702,0,0, 
-0.0463167,0.697981,0,0, 
-0.0463164,0.693961,0,0, 
-0.046316,0.689942,0,0, 
-0.0463157,0.685923,0,0, 
-0.0463153,0.681904,0,0.01, 
-0.0463149,0.677885,0,0.01, 
-0.0463145,0.673866,0,0.01, 
-0.046314,0.669847,0,0.01, 
-0.0463135,0.665828,0,0.01, 
-0.046313,0.661809,0,0.01, 
-0.0463124,0.657789,0,0.01, 
-0.0463118,0.65377,0,0.01, 
-0.0463111,0.649751,0,0.01, 
-0.0463104,0.645732,0,0.01, 
-0.0463097,0.641712,0,0.01, 
-0.046309,0.637693,0,0.01, 
-0.0463083,0.633674,0,0.01, 
-0.0463076,0.629655,0,0.01, 
-0.0463069,0.625635,0,0.01, 
-0.0463062,0.621616,0,0.01, 
-0.0463056,0.617597,0,0.01, 
-0.0463049,0.613577,0,0.01, 
-0.0463043,0.609558,0,0.01, 
-0.0463038,0.605539,0,0.01, 
-0.0463033,0.60152,0,0.01, 
-0.0463028,0.5975,0,0.01, 
-0.0463024,0.593481,0,0.01, 
-0.046302,0.589462,0,0, 
-0.0463016,0.585443,0,0, 
-0.0463013,0.581424,0,0, 
-0.0463009,0.577404,0,0, 
-0.0463006,0.573385,0,0, 
-0.0463003,0.569366,0,0, 
-0.0462999,0.565347,0,0, 
-0.0462996,0.561328,0,0, 
-0.0462992,0.557309,0,0, 
-0.0462988,0.55329,0,0.01, 
-0.0462984,0.549271,0,0.01, 
-0.046298,0.545251,0,0.01, 
-0.0462975,0.541232,0,0.01, 
-0.046297,0.537213,0,0.01, 
-0.0462964,0.533194,0,0.01, 
-0.0462958,0.529175,0,0.01, 
-0.0462951,0.525156,0,0.01, 
-0.0462944,0.521136,0,0.01, 
-0.0462938,0.517117,0,0.01, 
-0.046293,0.513098,0,0.01, 
-0.0462923,0.509079,0,0.01, 
-0.0462916,0.505059,0,0.01, 
-0.0462909,0.50104,0,0.01, 
-0.0462903,0.497021,0,0.01, 
-0.0462896,0.493002,0,0.01, 
-0.0462889,0.488982,0,0.01, 
-0.0462883,0.484963,0,0.01, 
-0.0462877,0.480944,0,0.01, 
-0.0462872,0.476924,0,0.01, 
-0.0462867,0.472905,0,0.01, 
-0.0462863,0.468886,0,0.01, 
-0.0462859,0.464867,0,0, 
-0.0462855,0.460847,0,0, 
-0.0462851,0.456828,0,0, 
-0.0462848,0.452809,0,0, 
-0.0462845,0.44879,0,0, 
-0.0462841,0.444771,0,0, 
-0.0462838,0.440752,0,0, 
-0.0462835,0.436733,0,0, 
-0.0462831,0.432714,0,0, 
-0.0462828,0.428694,0,0.01, 
-0.0462824,0.424675,0,0.01, 
-0.0462819,0.420656,0,0.01, 
-0.0462814,0.416637,0,0.01, 
-0.0462809,0.412618,0,0.01, 
-0.0462804,0.408599,0,0.01, 
-0.0462798,0.40458,0,0.01, 
-0.0462791,0.40056,0,0.01, 
-0.0462785,0.396541,0,0.01, 
-0.0462778,0.392522,0,0.01, 
-0.0462771,0.388503,0,0.01, 
-0.0462764,0.384483,0,0.01, 
-0.0462757,0.380464,0,0.01, 
-0.046275,0.376445,0,0.01, 
-0.0462743,0.372426,0,0.01, 
-0.0462736,0.368406,0,0.01, 
-0.046273,0.364387,0,0.01, 
-0.0462723,0.360368,0,0.01, 
-0.0462717,0.356348,0,0.01, 
-0.0462712,0.352329,0,0.01, 
-0.0462707,0.34831,0,0.01, 
-0.0462702,0.344291,0,0.01, 
-0.0462698,0.340271,0,0.01, 
-0.0462694,0.336252,0,0, 
-0.0462691,0.332233,0,0, 
-0.0462687,0.328214,0,0, 
-0.0462684,0.324195,0,0, 
-0.0462681,0.320176,0,0, 
-0.0462677,0.316156,0,0, 
-0.0462674,0.312137,0,0, 
-0.0462671,0.308118,0,0, 
-0.0462667,0.304099,0,0, 
-0.0462663,0.30008,0,0.01, 
-0.0462659,0.296061,0,0.01, 
-0.0462654,0.292042,0,0.01, 
