[e5] 
x-value,z-value,robots,orientation
1.08655,-1.19924,0,203.36, 
1.08502,-1.19557,0,203.23, 
1.0835,-1.19186,0,203.12, 
1.08198,-1.18814,0,203.05, 
1.08048,-1.18442,0,203, 
1.07897,-1.18071,0,202.97, 
1.07747,-1.17699,0,202.94, 
1.07595,-1.17328,0,202.92, 
1.07439,-1.16958,0,202.91, 
1.07281,-1.16587,0,202.91, 
1.07123,-1.16216,0,202.91, 
1.06965,-1.15846,0,202.91, 
1.06807,-1.15475,0,202.91, 
1.06649,-1.15104,0,202.91, 
1.06491,-1.14734,0,202.91, 
1.06333,-1.14364,0,202.92, 
1.06176,-1.13993,0,202.92, 
1.06018,-1.13623,0,202.92, 
1.05861,-1.13253,0,202.92, 
1.05704,-1.12883,0,202.92, 
1.05547,-1.12512,0,202.92, 
1.0539,-1.12142,0,202.92, 
1.05234,-1.11772,0,202.92, 
1.05077,-1.11402,0,202.92, 
1.04921,-1.11032,0,202.92, 
1.04764,-1.10663,0,202.91, 
1.04608,-1.10292,0,202.91, 
1.04451,-1.09922,0,202.91, 
1.04295,-1.09552,0,202.91, 
1.04138,-1.09182,0,202.91, 
1.03982,-1.08811,0,202.91, 
1.03826,-1.08441,0,202.91, 
1.03669,-1.08071,0,202.91, 
1.03513,-1.07701,0,202.91, 
1.03356,-1.0733,0,202.91, 
1.032,-1.0696,0,202.91, 
1.03043,-1.0659,0,202.91, 
1.02887,-1.0622,0,202.91, 
1.0273,-1.0585,0,202.91, 
1.02574,-1.05479,0,202.91, 
1.02417,-1.05109,0,202.91, 
1.02261,-1.04739,0,202.91, 
1.02105,-1.04369,0,202.91, 
1.01948,-1.03998,0,202.91, 
1.01792,-1.03628,0,202.91, 
1.01635,-1.03258,0,202.91, 
1.01479,-1.02888,0,202.91, 
1.01322,-1.02518,0,202.91, 
1.01166,-1.02147,0,202.91, 
1.01009,-1.01777,0,202.91, 
1.00853,-1.01407,0,202.91, 
1.00697,-1.01037,0,202.91, 
1.0054,-1.00666,0,202.91, 
1.00384,-1.00296,0,202.91, 
1.00227,-0.99926,0,202.91, 
1.00071,-0.995558,0,202.91, 
0.999144,-0.991855,0,202.91, 
0.99758,-0.988153,0,202.91, 
0.996015,-0.98445,0,202.91, 
0.994451,-0.980747,0,202.91, 
0.992887,-0.977045,0,202.91, 
0.991322,-0.973343,0,202.91, 
0.989758,-0.96964,0,202.91, 
0.988194,-0.965938,0,202.91, 
0.986629,-0.962236,0,202.91, 
0.985065,-0.958533,0,202.91, 
0.983501,-0.954831,0,202.91, 
0.981936,-0.951128,0,202.91, 
0.980372,-0.947426,0,202.9, 
0.978808,-0.943725,0,202.9, 
0.977244,-0.940022,0,202.9, 
0.975679,-0.93632,0,202.9, 
0.974115,-0.932617,0,202.9, 
0.972551,-0.928914,0,202.9, 
0.970986,-0.925212,0,202.9, 
0.969422,-0.921509,0,202.9, 
0.967858,-0.917807,0,202.9, 
0.966294,-0.914104,0,202.9, 
0.964729,-0.910402,0,202.9, 
0.963165,-0.9067,0,202.9, 
0.961601,-0.902997,0,202.9, 
0.960036,-0.899295,0,202.9, 
0.958472,-0.895592,0,202.9, 
0.956908,-0.89189,0,202.9, 
0.955344,-0.888188,0,202.9, 
0.953779,-0.884486,0,202.9, 
0.952215,-0.880783,0,202.9, 
0.950651,-0.87708,0,202.9, 
0.949087,-0.873378,0,202.9, 
0.947522,-0.869675,0,202.9, 
0.945958,-0.865973,0,202.9, 
0.944394,-0.86227,0,202.9, 
0.94283,-0.858568,0,202.9, 
0.941266,-0.854866,0,202.9, 
0.939701,-0.851163,0,202.9, 
0.938137,-0.847461,0,202.9, 
0.936573,-0.843758,0,202.9, 
0.935009,-0.840056,0,202.9, 
0.933444,-0.836353,0,202.9, 
0.93188,-0.832651,0,202.9, 
0.930316,-0.828949,0,202.9, 
0.928752,-0.825247,0,202.9, 
0.927188,-0.821544,0,202.9, 
0.925624,-0.817842,0,202.9, 
0.92406,-0.814139,0,202.9, 
0.922495,-0.810436,0,202.9, 
0.920931,-0.806734,0,202.9, 
0.919367,-0.803031,0,202.9, 
0.917803,-0.799329,0,202.9, 
0.916239,-0.795627,0,202.9, 
0.914675,-0.791924,0,202.9, 
0.91311,-0.788222,0,202.9, 
0.911546,-0.784519,0,202.9, 
0.909982,-0.780817,0,202.9, 
0.908418,-0.777114,0,202.9, 
0.906854,-0.773412,0,202.9, 
0.90529,-0.76971,0,202.9, 
0.903726,-0.766008,0,202.9, 
0.902161,-0.762305,0,202.9, 
0.900597,-0.758602,0,202.9, 
0.899033,-0.7549,0,202.9, 
0.897469,-0.751197,0,202.9, 
0.895905,-0.747494,0,202.9, 
0.894341,-0.743792,0,202.9, 
0.892777,-0.74009,0,202.9, 
0.891212,-0.736387,0,202.9, 
0.889648,-0.732685,0,202.9, 
0.888084,-0.728982,0,202.9, 
0.88652,-0.72528,0,202.9, 
0.884956,-0.721577,0,202.9, 
0.883392,-0.717875,0,202.9, 
0.881828,-0.714173,0,202.9, 
0.880264,-0.71047,1,202.9, 
0.8787,-0.706768,1,202.9, 
0.877136,-0.703065,2,202.9, 
0.875572,-0.699362,2,202.9, 
0.874008,-0.69566,2,202.9, 
0.872443,-0.691957,3,202.9, 
0.870879,-0.688254,3,202.9, 
0.869315,-0.684552,4,202.9, 
0.86781,-0.680993,5,203.95, 
0.866599,-0.678294,5,205.95, 
0.865289,-0.675645,6,207.9, 
0.863881,-0.673035,6,209.74, 
0.862365,-0.670429,6,211.64, 
0.8606,-0.667612,7,213.42, 
0.858723,-0.664815,7,215.08, 
0.856745,-0.662044,7,216.64, 
0.854672,-0.659298,7,218.1, 
0.85251,-0.656578,7,219.47, 
0.850264,-0.653882,7,220.75, 
0.847939,-0.651212,7,221.95, 
0.845542,-0.648568,7,223.07, 
0.843075,-0.645949,7,224.12, 
0.840544,-0.643356,7,225.1, 
0.837952,-0.640788,7,226.01, 
0.835292,-0.638254,7,226.83, 
0.832581,-0.63574,7,227.6, 
0.829822,-0.633247,7,228.31, 
0.827018,-0.630774,7,228.98, 
0.824172,-0.628319,7,229.6, 
0.821287,-0.625883,7,230.18, 
0.818365,-0.623464,7,230.71, 
0.815408,-0.62106,7,231.21, 
0.812429,-0.61868,7,231.65, 
0.809427,-0.616317,7,232.05, 
0.806395,-0.613964,7,232.43, 
0.803338,-0.611621,7,232.78, 
0.800258,-0.60929,7,233.1, 
0.797155,-0.606968,7,233.4, 
0.794033,-0.604656,7,233.67, 
0.790893,-0.602353,7,233.93, 
0.787734,-0.600059,7,234.17, 
0.784558,-0.597771,7,234.38, 
0.781368,-0.59549,7,234.58, 
0.778163,-0.593215,7,234.76, 
0.774945,-0.590946,7,234.93, 
0.771714,-0.588681,7,235.08, 
0.768471,-0.58642,7,235.21, 
0.765218,-0.584163,7,235.33, 
0.761956,-0.58191,7,235.44, 
0.758686,-0.57966,7,235.54, 
0.755407,-0.577413,7,235.63, 
0.752122,-0.575168,7,235.72, 
0.748829,-0.572924,7,235.78, 
0.745529,-0.570682,8,235.84, 
0.742225,-0.568441,8,235.9, 
0.738915,-0.566201,8,235.94, 
0.7356,-0.563961,8,235.98, 
0.732281,-0.561721,8,236.01, 
0.728957,-0.55948,8,236.03, 
0.725629,-0.557238,8,236.04, 
0.722298,-0.554995,8,236.05, 
0.718964,-0.552751,8,236.05, 
